name,runs,levels,factors
L4 2^2,4,2,2
L4 2^3,4,2,3
L8 2^2,8,2,2
L8 2^3,8,2,3
L8 2^4,8,2,4
L8 2^5,8,2,5
L8 2^6,8,2,6
L8 2^7,8,2,7
L12 2^2,12,2,2
L12 2^3,12,2,3
L12 2^4,12,2,4
L12 2^5,12,2,5
L12 2^6,12,2,6
L12 2^7,12,2,7
L12 2^8,12,2,8
L12 2^9,12,2,9
L12 2^10,12,2,10
L12 2^11,12,2,11
L16 2^2,16,2,2
L16 2^3,16,2,3
L16 2^4,16,2,4
L16 2^5,16,2,5
L16 2^6,16,2,6
L16 2^7,16,2,7
L16 2^8,16,2,8
L16 2^9,16,2,9
L16 2^10,16,2,10
L16 2^11,16,2,11
L16 2^12,16,2,12
L16 2^13,16,2,13
L16 2^14,16,2,14
L16 2^15,16,2,15
L32 2^2,32,2,2
L32 2^3,32,2,3
L32 2^4,32,2,4
L32 2^5,32,2,5
L32 2^6,32,2,6
L32 2^7,32,2,7
L32 2^8,32,2,8
L32 2^9,32,2,9
L32 2^10,32,2,10
L32 2^11,32,2,11
L32 2^12,32,2,12
L32 2^13,32,2,13
L32 2^14,32,2,14
L32 2^15,32,2,15
L32 2^16,32,2,16
L32 2^17,32,2,17
L32 2^18,32,2,18
L32 2^19,32,2,19
L32 2^20,32,2,20
L32 2^21,32,2,21
L32 2^22,32,2,22
L32 2^23,32,2,23
L32 2^24,32,2,24
L32 2^25,32,2,25
L32 2^26,32,2,26
L32 2^27,32,2,27
L32 2^28,32,2,28
L32 2^29,32,2,29
L32 2^30,32,2,30
L32 2^31,32,2,31
L9 3^2,9,3,2
L9 3^3,9,3,3
L9 3^4,9,3,4
L27 3^2,27,3,2
L27 3^3,27,3,3
L27 3^4,27,3,4
L27 3^5,27,3,5
L27 3^6,27,3,6
L27 3^7,27,3,7
L27 3^8,27,3,8
L27 3^9,27,3,9
L27 3^10,27,3,10
L27 3^11,27,3,11
L27 3^12,27,3,12
L27 3^13,27,3,13
L16 4^2,16,4,2
L16 4^3,16,4,3
L16 4^4,16,4,4
L16 4^5,16,4,5
L25 5^2,25,5,2
L25 5^3,25,5,3
L25 5^4,25,5,4
L25 5^5,25,5,5
L25 5^6,25,5,6
